Date,Close/Last,Volume,Open,High,Low
04/25/2024,$169.89,50558330,$169.525,$170.61,$168.1511
04/24/2024,$169.02,48251840,$166.54,$169.30,$166.21
04/23/2024,$166.90,49537760,$165.35,$167.05,$164.92
04/22/2024,$165.84,48116440,$165.515,$167.26,$164.77
04/19/2024,$165.00,68149380,$166.21,$166.40,$164.075
04/18/2024,$167.04,43122900,$168.03,$168.64,$166.55
04/17/2024,$168.00,50901210,$169.61,$170.65,$168.00
04/16/2024,$169.38,73711240,$171.75,$173.76,$168.27
04/15/2024,$172.69,73531770,$175.36,$176.63,$172.50
04/12/2024,$176.55,101670900,$174.26,$178.36,$174.21
04/11/2024,$175.04,91070280,$168.34,$175.46,$168.16
04/10/2024,$167.78,49709340,$168.80,$169.09,$167.11
04/09/2024,$169.67,42451210,$168.70,$170.08,$168.35
04/08/2024,$168.45,37425510,$169.03,$169.20,$168.24
04/05/2024,$169.58,42104830,$169.59,$170.39,$168.95
04/04/2024,$168.82,53704390,$170.29,$171.92,$168.82
04/03/2024,$169.65,47691720,$168.79,$170.68,$168.58
04/02/2024,$168.84,49329480,$169.08,$169.34,$168.2302
04/01/2024,$170.03,46240500,$171.19,$171.25,$169.475
03/28/2024,$171.48,65672690,$171.75,$172.23,$170.51
03/27/2024,$173.31,60273270,$170.41,$173.60,$170.11
03/26/2024,$169.71,57388450,$170.00,$171.42,$169.58
03/25/2024,$170.85,54288330,$170.565,$171.94,$169.45
03/22/2024,$172.28,71160140,$171.76,$173.05,$170.06
03/21/2024,$171.37,106181300,$177.05,$177.49,$170.84
03/20/2024,$178.67,53423100,$175.72,$178.67,$175.09
03/19/2024,$176.08,55215240,$174.34,$176.605,$173.03
03/18/2024,$173.72,75604180,$175.57,$177.71,$173.52
03/15/2024,$172.62,121752700,$171.17,$172.62,$170.285
03/14/2024,$173.00,72913510,$172.91,$174.3078,$172.05
03/13/2024,$171.13,52488690,$172.77,$173.185,$170.76
03/12/2024,$173.23,59825370,$173.15,$174.03,$171.01
03/11/2024,$172.75,60139470,$172.94,$174.38,$172.05
03/08/2024,$170.73,76267040,$169.00,$173.70,$168.94
03/07/2024,$169.00,71765060,$169.15,$170.73,$168.49
03/06/2024,$169.12,68587710,$171.06,$171.24,$168.68
03/05/2024,$170.12,95132360,$170.76,$172.04,$169.62
03/04/2024,$175.10,81510100,$176.15,$176.90,$173.79
03/01/2024,$179.66,73563080,$179.55,$180.53,$177.38
02/29/2024,$180.75,136682600,$181.27,$182.57,$179.53
02/28/2024,$181.42,48953940,$182.51,$183.12,$180.13
02/27/2024,$182.63,54318850,$181.10,$183.9225,$179.56
02/26/2024,$181.16,40867420,$182.24,$182.76,$180.65
02/23/2024,$182.52,45119680,$185.01,$185.04,$182.23
02/22/2024,$184.37,52292210,$183.48,$184.955,$182.46
02/21/2024,$182.32,41529670,$181.94,$182.8888,$180.66
02/20/2024,$181.56,53665550,$181.79,$182.43,$180.00
02/16/2024,$182.31,49752470,$183.42,$184.85,$181.665
02/15/2024,$183.86,65434500,$183.55,$184.49,$181.35
02/14/2024,$184.15,54630520,$185.32,$185.53,$182.44
02/13/2024,$185.04,56529530,$185.77,$186.21,$183.5128
02/12/2024,$187.15,41781930,$188.415,$188.67,$186.79
02/09/2024,$188.85,45155220,$188.65,$189.99,$188.00
02/08/2024,$188.32,40962050,$189.385,$189.535,$187.35
02/07/2024,$189.41,53438960,$190.64,$191.05,$188.61
02/06/2024,$189.30,43490760,$186.86,$189.31,$186.7695
02/05/2024,$187.68,69668820,$188.15,$189.25,$185.84
02/02/2024,$185.85,102551700,$179.86,$187.33,$179.25
02/01/2024,$186.86,64885410,$183.985,$186.95,$183.82
01/31/2024,$184.40,55467800,$187.04,$187.095,$184.35
01/30/2024,$188.04,55859370,$190.94,$191.80,$187.47
01/29/2024,$191.73,47145620,$192.01,$192.20,$189.58
01/26/2024,$192.42,44594010,$194.27,$194.76,$191.94
01/25/2024,$194.17,54822130,$195.22,$196.2675,$193.1125
01/24/2024,$194.50,53631320,$195.42,$196.38,$194.34
01/23/2024,$195.18,42355590,$195.02,$195.75,$193.8299
01/22/2024,$193.89,60133850,$192.30,$195.33,$192.26
01/19/2024,$191.56,68902990,$189.33,$191.95,$188.82
01/18/2024,$188.63,78005750,$186.09,$189.14,$185.83
01/17/2024,$182.68,47317430,$181.27,$182.93,$180.30
01/16/2024,$183.63,65603040,$182.16,$184.26,$180.934
01/12/2024,$185.92,40477780,$186.06,$186.74,$185.19
01/11/2024,$185.59,49128410,$186.54,$187.05,$183.62
01/10/2024,$186.19,46792910,$184.35,$186.40,$183.92
01/09/2024,$185.14,42841810,$183.92,$185.15,$182.73
01/08/2024,$185.56,59144470,$182.085,$185.60,$181.50
01/05/2024,$181.18,62379660,$181.99,$182.76,$180.17
01/04/2024,$181.91,71983570,$182.15,$183.0872,$180.88
01/03/2024,$184.25,58414460,$184.22,$185.88,$183.43
01/02/2024,$185.64,82488670,$187.15,$188.44,$183.885
12/29/2023,$192.53,42672150,$193.90,$194.40,$191.725
12/28/2023,$193.58,34049900,$194.14,$194.66,$193.17
12/27/2023,$193.15,48087680,$192.49,$193.50,$191.09
12/26/2023,$193.05,28919310,$193.61,$193.89,$192.83
12/22/2023,$193.60,37149570,$195.18,$195.41,$192.97
12/21/2023,$194.68,46482550,$196.10,$197.08,$193.50
12/20/2023,$194.83,52242820,$196.90,$197.68,$194.83
12/19/2023,$196.94,40714050,$196.16,$196.95,$195.89
12/18/2023,$195.89,55751860,$196.09,$196.63,$194.39
12/15/2023,$197.57,128538400,$197.53,$198.3999,$197.00
12/14/2023,$198.11,66831570,$198.02,$199.62,$196.16
12/13/2023,$197.96,70404180,$195.09,$198.00,$194.85
12/12/2023,$194.71,52696900,$193.08,$194.72,$191.721
12/11/2023,$193.18,60943700,$193.11,$193.49,$191.42
12/08/2023,$195.71,53406360,$194.20,$195.99,$193.67
12/07/2023,$194.27,47477660,$193.63,$195.00,$193.59
12/06/2023,$192.32,41089740,$194.45,$194.76,$192.11
12/05/2023,$193.42,66628400,$190.21,$194.40,$190.18
12/04/2023,$189.43,43389520,$189.98,$190.05,$187.4511
12/01/2023,$191.24,45704820,$190.33,$191.56,$189.23
11/30/2023,$189.95,48794370,$189.84,$190.32,$188.19
11/29/2023,$189.37,43014220,$190.90,$192.09,$188.97
11/28/2023,$190.40,38415420,$189.78,$191.08,$189.40
11/27/2023,$189.79,40552610,$189.92,$190.67,$188.90
11/24/2023,$189.97,24048340,$190.87,$190.90,$189.25
11/22/2023,$191.31,39630010,$191.49,$192.93,$190.825
11/21/2023,$190.64,38134490,$191.41,$191.52,$189.74
11/20/2023,$191.45,46538610,$189.89,$191.905,$189.88
11/17/2023,$189.69,50941400,$190.25,$190.38,$188.57
11/16/2023,$189.71,54412920,$189.57,$190.96,$188.65
11/15/2023,$188.01,53790500,$187.845,$189.50,$187.78
11/14/2023,$187.44,60108380,$187.70,$188.11,$186.30
11/13/2023,$184.80,43627520,$185.82,$186.03,$184.21
11/10/2023,$186.40,66177920,$183.97,$186.565,$183.53
11/09/2023,$182.41,53763540,$182.96,$184.12,$181.81
11/08/2023,$182.89,49340280,$182.35,$183.45,$181.59
